Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,1,Next Level,aespa,17,3831221,-11%,https://www.youtube.com/watch?v=4TWR90KJl84
2,3,Butter,BTS,16,2612676,-3.3%,https://www.youtube.com/watch?v=WMweEpGlu_U
3,2,Queendom,Red Velvet,4,2502535,-12.9%,https://www.youtube.com/watch?v=c9RzZpV460k
4,5,STAY,The Kid Laroi & Justin Bieber,9,2270806,16.5%,https://www.youtube.com/watch?v=kTJczUoc26U
5,,색안경 (STEREOTYPE),STAYC,1,2211796,,https://www.youtube.com/watch?v=Xmxcnf2v_gs
6,4,Permission to Dance,BTS,9,1774254,-14.6%,https://www.youtube.com/watch?v=CuklIb9d3fI
7,6,DUMB DUMB,JEON SOMI,6,1726858,-11.4%,https://www.youtube.com/watch?v=tg2uF3R_Ozo
8,12,은근히 낯가려요 (feat. RAVI),BOOKKU DDOONG,2,1528083,31.8%,https://www.youtube.com/watch?v=DtTejicVcv0
9,7,Weekend,TAEYEON,10,1487426,-10.6%,https://www.youtube.com/watch?v=RmuL-BPFi2Q
10,8,신호등,Lee Mujin,17,1387398,0.2%,https://www.youtube.com/watch?v=9Ibf10h9U0c
11,,WANNABE,ITZY,53,1270809,,https://www.youtube.com/watch?v=fE2h3lGlOsk
12,10,OHAYO MY NIGHT,디핵 (D-Hack) & Pateko,14,1265935,-4.4%,https://www.youtube.com/watch?v=9Unrl9Yi55s
13,13,ASAP,STAYC,22,1156333,2.9%,https://www.youtube.com/watch?v=NsY-9MCOIAQ
14,9,낙하(NAKKA),AKMU & IU,7,1152612,-13.2%,https://www.youtube.com/watch?v=EtiPbWzUY9o
15,11,Dun Dun Dance,OH MY GIRL,18,1141284,-7.8%,https://www.youtube.com/watch?v=HzOjwL7IP_o
16,17,롤린 (Rollin'),Brave Girls,33,985777,6.4%,https://www.youtube.com/watch?v=nw6mcjNlh8E
17,14,Celebrity,IU,33,962975,-5.1%,https://www.youtube.com/watch?v=0-q1KafFCLU
18,,시간을 거슬러 (낮에 뜨는 달 X 케이윌),K.Will,1,949373,,https://www.youtube.com/watch?v=kkM3aNP3YbQ
19,16,My Starry Love (별빛 같은 나의 사랑아),Lim Young-woong,27,929296,-6%,https://www.youtube.com/watch?v=oQW9lY1ZAJA
20,69,Convenience store (편의점),Lee Chanwon,2,867762,190.1%,https://www.youtube.com/watch?v=eOGWrABwPSE
21,19,Bad Habits,Ed Sheeran,11,834720,-5.3%,https://www.youtube.com/watch?v=orJSJGHjBLI
22,15,Alcohol-Free,TWICE,14,823916,-17.1%,https://www.youtube.com/watch?v=XA2YEHn-A8Q
23,28,다정히 내 이름을 부르면 (If you lovingly call my name),GyeongseoYeji & Gunho Jeon,12,795213,16.8%,https://www.youtube.com/watch?v=z127C11tKsg
24,22,LILAC,IU,25,786953,0.5%,https://www.youtube.com/watch?v=v7bnOxV4jAc
25,26,Lovesick Girls,BLACKPINK,49,785954,7.1%,https://www.youtube.com/watch?v=dyRsYk0LyA8
26,18,Black Mamba,aespa,43,774224,-12.7%,https://www.youtube.com/watch?v=ZeerrnuLi5E
27,21,사이렌 (Siren) [Remix],Homies,34,738884,-6.1%,https://www.youtube.com/watch?v=vvTO3c-h0ZI
28,,구원자 (feat. B.I),Lee Hi,1,730321,,https://www.youtube.com/watch?v=fDB4CkyrR4U
29,25,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,25,729806,-2.2%,https://www.youtube.com/watch?v=tQ0yjYUFKAE
30,24,비와 당신 (Rain and You),Lee Mujin,12,691451,-7.9%,https://www.youtube.com/watch?v=sCmcSBsTxQc
31,27,HAPPEN (헤픈 우연),Heize,17,680694,-1.5%,https://www.youtube.com/watch?v=AJPLgrfBiBo
32,76,Talk & Talk,fromis_9,2,650533,126.2%,https://www.youtube.com/watch?v=BjmmvBMXbSU
33,20,소리꾼 (Thunderous),Stray Kids,3,648537,-25.6%,https://www.youtube.com/watch?v=EaswWiwMVs8
34,29,좋아좋아 (I Like You),CHO JUNG SEOK,8,594837,-11%,https://www.youtube.com/watch?v=poiZpOXZXN8
35,70,고백,MeloMance,2,585151,96.2%,https://www.youtube.com/watch?v=IgPcbE--mMA
36,35,Panorama,IZ*ONE,40,526093,-2.6%,https://www.youtube.com/watch?v=G8GaQdW2wHc
37,34,안녕 (Hello),JOY,15,511292,-6.3%,https://www.youtube.com/watch?v=lNvBbh5jDcA
38,32,비가 오는 날엔,Heize,5,499204,-11.3%,https://www.youtube.com/watch?v=1ulChc11CJM
39,37,In the morning,ITZY,19,498709,-7.1%,https://www.youtube.com/watch?v=_ysomCGaZLw
40,36,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,7,491290,-8.8%,https://www.youtube.com/watch?v=UTHLKHL_whs
41,,I NEED U,BTS,32,487210,,https://www.youtube.com/watch?v=NMdTd9e-LEI
42,51,Actually.. I miss you (사실 나는) (feat. Gunho Jeon),GyeongseoYeji,29,471580,16.2%,https://www.youtube.com/watch?v=YJInKpVsBQA
43,56,Pretty Savage,BLACKPINK,30,462486,27.7%,https://www.youtube.com/watch?v=F8c8f2nK82w
44,43,Ah puh,IU,24,460426,-3.2%,https://www.youtube.com/watch?v=7n9D8ZeOQv0
45,,눈누난나 (NUNU NANA),Jessi,27,460395,,https://www.youtube.com/watch?v=tJQaUW36pMw
46,38,Chi Mat Ba Ram,Brave Girls,12,458706,-14.5%,https://www.youtube.com/watch?v=e70PkoJhQYM
47,39,Night Flower (야화),AHN YE EUN,2,458142,-13.5%,https://www.youtube.com/watch?v=vYw6-1znJ8o
48,,run! (feat. JUSTHIS),nafla,1,441134,,https://www.youtube.com/watch?v=l_j7g2lRYN8
49,,Better,BoA,5,438936,,https://www.youtube.com/watch?v=fOxl2OIOVII
50,,Burn The House Down,AJR,27,438532,,https://www.youtube.com/watch?v=UnyLfqpyi94
51,42,Outsider,BTOB,2,436324,-8.3%,https://www.youtube.com/watch?v=1-rD_vr_2xQ
52,,Ashes,Stellar,29,433405,,https://www.youtube.com/watch?v=1NnT8RjQHg8
53,50,Go Back,Jang Beom June,8,429890,4.3%,https://www.youtube.com/watch?v=RFMmK9E-cbc
54,31,WE GO,fromis_9,16,422019,-26.3%,https://www.youtube.com/watch?v=HM6UpQZvbhY
55,45,Foolish Love,MSG WANNABE,11,418996,-10.2%,https://www.youtube.com/watch?v=-UMAz1KMHuI
56,41,Go Back (고백),10CM,5,403969,-18.7%,https://www.youtube.com/watch?v=X3PFu82F_S8
57,33,Pose,Red Velvet,4,392433,-29.8%,https://www.youtube.com/watch?v=Xryh6KT9Cpg
58,54,Off My Face,Justin Bieber,20,383905,4.9%,https://www.youtube.com/watch?v=AeZxDcjXbzE
59,40,Hate that… (feat. TAEYEON),KEY,2,359715,-28.9%,https://www.youtube.com/watch?v=sz2Dmo1_BjM
60,63,For you who’s like my galaxy (feat. Molly.D),GyeongseoYeji,7,351789,10.3%,https://www.youtube.com/watch?v=rQDiyAc_Mz8
61,23,SPICY,CL,3,351191,-54.4%,https://www.youtube.com/watch?v=QMwJtMJLXE0
62,,It hurts,Lim Young-woong,1,346905,,https://www.youtube.com/watch?v=cv3RDNw9MsQ
63,53,In front of the Post Office in Autumn,Kim Dae-myung,11,346629,-7.8%,https://www.youtube.com/watch?v=F5jrt858gYM
64,64,Tiny Riot,Sam Ryder,7,340063,7.1%,https://www.youtube.com/watch?v=KgSHOOKrZIg
65,66,Celebration,BewhY,6,339752,10.1%,https://www.youtube.com/watch?v=9fqFprUfMHY
66,48,LO$ER=LO♡ER,TOMORROW X TOGETHER,4,339271,-22.1%,https://www.youtube.com/watch?v=JzODRUBBXpc
67,,"LOVE DAY (2021) [From Naver Webtoon ""Romance 101""]",Yang Yoseop & Jeong Eun-ji,21,334960,,https://www.youtube.com/watch?v=5_Esp-dXcOA
68,,SO BAD,STAYC,27,326148,,https://www.youtube.com/watch?v=gMe1c4UegBY
69,58,사진을 보다가,Davichi,3,321776,-9.5%,https://www.youtube.com/watch?v=Ri7Y9NZPZ8g
70,57,서울의 잠 못 이루는 밤 (feat. LEE SUHYUN),10CM,17,320149,-11.6%,https://www.youtube.com/watch?v=_HFRhzwJjd8
71,46,You can't sit with us,SUNMI,5,319608,-27.7%,https://www.youtube.com/watch?v=V0wInr_xATk
72,61,PTT (Paint The Town),Loona,11,315723,-5.1%,https://www.youtube.com/watch?v=_EEo-iE5u_A
73,59,Superstar,Mido and Falasol,7,312113,-12%,https://www.youtube.com/watch?v=URRimPZBHf8
74,47,Rumors (feat. Cardi B),Lizzo,4,311260,-28.8%,https://www.youtube.com/watch?v=4P9XUrniiK4
75,68,다시 사랑할 수 있을까 (Can I Love Again) [Live],Baek Z Young & Lee Hong Gi,9,303866,1.5%,https://www.youtube.com/watch?v=JnxnvjI4VFw
76,62,Wanna go to Maryang (마량에 가고싶다),Lim Young-woong,2,303771,-8.6%,https://www.youtube.com/watch?v=A0R_aFLPATE
77,74,창귀,AHN YE EUN,6,298228,2.8%,https://www.youtube.com/watch?v=Tc_CUhloyFs
78,77,우산 (Umbrella) (feat. Younha),EPIK HIGH,17,294556,3.6%,https://www.youtube.com/watch?v=NIPtyAKxlRs
79,71,도망가자 (Run With Me),sunwoojunga,11,289234,-0.9%,https://www.youtube.com/watch?v=0q6DR6EiPPo
80,83,Save Your Tears,The Weeknd,20,281173,5.1%,https://www.youtube.com/watch?v=XXYlFuWEuKI
81,80,I (feat. Verbal Jint),TAEYEON,14,280499,2%,https://www.youtube.com/watch?v=4OrCA1OInoo
82,,Everything Black (feat. Mike Taylor),Unlike Pluto,22,274184,,https://www.youtube.com/watch?v=mWKDZRJWdF4
83,84,THRILL RIDE,THE BOYZ,5,273579,3.5%,https://www.youtube.com/watch?v=XMs2CIiqRDI
84,,음 (Mmmh),KAI of EXO,4,273467,,https://www.youtube.com/watch?v=Fc-fa6cAe2c
85,78,as you wish (추적이는 여름 비가 되어),Jang Beom June,13,271657,-2.4%,https://www.youtube.com/watch?v=kL9_pN8MqdM
86,,PING PONG,HyunA & 던 Dawn,1,261159,,https://www.youtube.com/watch?v=0aaeUI1ucfQ
87,52,담아 갈게 (Scent of the day),Lee Mujin,2,255277,-34.1%,https://www.youtube.com/watch?v=BcRngqfDAlo
88,87,비 오는 날 듣기 좋은 노래 (feat. Colde),EPIK HIGH,8,252497,-2.6%,https://www.youtube.com/watch?v=6Bs-YqjlRf0
89,,Lost Stars (Live),Adam Levine,1,245453,,https://www.youtube.com/watch?v=cL4uhaQ58Rk
90,,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,1,244104,,https://www.youtube.com/watch?v=uO59tfQ2TbA
91,81,Hello Future,NCT DREAM,11,241077,-10.9%,https://www.youtube.com/watch?v=QPUjV7epJqE
92,,색안경 (STEREOTYPE),STAYC,1,239998,,https://www.youtube.com/watch?v=l4a0oViyiBs
93,85,출항 (Sailing),AHN YE EUN,15,236733,-9.4%,https://www.youtube.com/watch?v=efrVSI3yVSA
94,30,자나깨나 (Feat. 조이 of Red Velvet) (feat. JOY),Crush,10,232705,-64.3%,https://www.youtube.com/watch?v=29ycT6fA-Rs
95,55,Don’t Go,"Skrillex, Justin Bieber & Don Toliver",2,226145,-38%,https://www.youtube.com/watch?v=cds_rfHsJ3Y
96,92,Beggin',Måneskin,7,223720,-9.4%,https://www.youtube.com/watch?v=ZWKpPDI1M-o
97,,Ode To The Stars,MAKTUB,9,222908,,https://www.youtube.com/watch?v=IFXVvfLNrYA
98,,Secret Garden,IU,15,222440,,https://www.youtube.com/watch?v=eGXJs7zOHC4
99,86,"전쟁터 (Hey kid, Close your eyes) (feat. Lee Sun-hee)",AKMU,8,221441,-14.8%,https://www.youtube.com/watch?v=gMXXVS6Hil4
100,,The man says,Kim Hee Jae,1,220374,,https://www.youtube.com/watch?v=qYMZbMKtDiI